,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
131,-0.32435348190568236,0.47889805716045175,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,0.1657394393534053,-1.0,False
132,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
133,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
134,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
135,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
136,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
137,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
138,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
139,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
140,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
141,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
142,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
143,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
144,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
145,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
146,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
147,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
148,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
149,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
150,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
151,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
152,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
153,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
154,-0.6230663400476832,-0.357651788481944,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
155,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
156,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
157,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
158,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
159,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
160,-0.6230663400476832,-0.3776971316656562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
161,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
162,-0.6230663400476832,-0.357651788481944,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
163,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
164,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
165,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
166,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8098081886363199,-1.0,False
167,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
168,-0.6230663400476832,-0.357651788481944,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
